,molecule_smi,smiles_token,smiles_attention,smarts_tox,tox_location,atom_tox_att,non_tox_location,atom_non_tox_att,att_bond
20,c1ccc(C(NCc2cccnc2)(c2ccccc2)c2ccccc2)cc1,"['c', '1', 'c', 'c', 'c', '(', 'C', '(', 'N', 'C', 'c', '2', 'c', 'c', 'c', 'n', 'c', '2', ')', '(', 'c', '2', 'c', 'c', 'c', 'c', 'c', '2', ')', 'c', '2', 'c', 'c', 'c', 'c', 'c', '2', ')', 'c', 'c', '1']","[0.005983760114759207, 0.006297172978520393, 0.00487922877073288, 0.004965652246028185, 0.005059144925326109, 0.007833465002477169, 0.013099685311317444, 0.03850487992167473, 0.05424065887928009, 0.023348890244960785, 0.03375030681490898, 0.02503099851310253, 0.013251055963337421, 0.008006650023162365, 0.006656500976532698, 0.024170318618416786, 0.015382337383925915, 0.016978859901428223, 0.016552859917283058, 0.008257423527538776, 0.013071895577013493, 0.022923005744814873, 0.015365268103778362, 0.007396044675260782, 0.006442091893404722, 0.007254717405885458, 0.014905798248946667, 0.01885606162250042, 0.015549003146588802, 0.008774299174547195, 0.023202141746878624, 0.013661063276231289, 0.007090142462402582, 0.006856329273432493, 0.007160127628594637, 0.012699049897491932, 0.016568662598729134, 0.012237836606800556, 0.006951467599719763, 0.005497051402926445, 0.007034949958324432]","c1cc(-,:ccc1)-[#6](-c1ccccc1)-[#6]","(0, 1, 2, 3, 4, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26)","[0.005983760114759207, 0.00487922877073288, 0.004965652246028185, 0.005059144925326109, 0.013099685311317444, 0.013071895577013493, 0.015365268103778362, 0.007396044675260782, 0.006442091893404722, 0.007254717405885458, 0.014905798248946667, 0.008774299174547195, 0.013661063276231289, 0.007090142462402582, 0.006856329273432493, 0.007160127628594637, 0.012699049897491932, 0.006951467599719763, 0.005497051402926445]","(5, 6, 7, 8, 9, 10, 11, 12)","[0.05424065887928009, 0.023348890244960785, 0.03375030681490898, 0.013251055963337421, 0.008006650023162365, 0.006656500976532698, 0.024170318618416786, 0.015382337383925915]","[0.006297172978520393, 0.007833465002477169, 0.03850487992167473, 0.02503099851310253, 0.016978859901428223, 0.016552859917283058, 0.008257423527538776, 0.022923005744814873, 0.01885606162250042, 0.015549003146588802, 0.023202141746878624, 0.016568662598729134, 0.012237836606800556, 0.007034949958324432]"
21,Cl.OC(=O)C1=CCCN(CCON=C(c2ccccc2)c2ccccc2)C1,"['Cl', '.', 'O', 'C', '(', '=', 'O', ')', 'C', '1', '=', 'C', 'C', 'C', 'N', '(', 'C', 'C', 'O', 'N', '=', 'C', '(', 'c', '2', 'c', 'c', 'c', 'c', 'c', '2', ')', 'c', '2', 'c', 'c', 'c', 'c', 'c', '2', ')', 'C', '1']","[0.006418542470782995, 0.013097000308334827, 0.003527978667989373, 0.007549678906798363, 0.012593076564371586, 0.0059388368390500546, 0.010352933779358864, 0.008117761462926865, 0.008438763208687305, 0.012995460070669651, 0.008632228709757328, 0.008931208401918411, 0.007908171974122524, 0.01812724955379963, 0.011078347451984882, 0.02265295200049877, 0.006286634597927332, 0.0136714493855834, 0.025683686137199402, 0.02576359547674656, 0.02825135737657547, 0.009203999303281307, 0.019530566409230232, 0.01155806053429842, 0.030069900676608086, 0.014753859490156174, 0.008612670935690403, 0.00798479001969099, 0.008161569945514202, 0.020556015893816948, 0.0251003447920084, 0.020511098206043243, 0.010758600197732449, 0.03252725675702095, 0.018704084679484367, 0.008948655799031258, 0.006932462099939585, 0.007605567574501038, 0.013586477376520634, 0.020220892503857613, 0.012763545848429203, 0.006216824054718018, 0.010403542779386044]",[C&X3]=[C&X3][C&X3](=[O&X1])[O&X2&H1],"(5, 4, 2, 3, 1)","[0.003527978667989373, 0.007549678906798363, 0.010352933779358864, 0.008438763208687305, 0.008931208401918411]","(0, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26)","[0.006418542470782995, 0.007908171974122524, 0.01812724955379963, 0.011078347451984882, 0.006286634597927332, 0.0136714493855834, 0.025683686137199402, 0.02576359547674656, 0.009203999303281307, 0.01155806053429842, 0.014753859490156174, 0.008612670935690403, 0.00798479001969099, 0.008161569945514202, 0.020556015893816948, 0.010758600197732449, 0.018704084679484367, 0.008948655799031258, 0.006932462099939585, 0.007605567574501038, 0.013586477376520634, 0.006216824054718018]","[0.013097000308334827, 0.012593076564371586, 0.0059388368390500546, 0.008117761462926865, 0.012995460070669651, 0.008632228709757328, 0.02265295200049877, 0.02825135737657547, 0.019530566409230232, 0.030069900676608086, 0.0251003447920084, 0.020511098206043243, 0.03252725675702095, 0.020220892503857613, 0.012763545848429203, 0.010403542779386044]"
22,Oc1c(O)cc(/C=C(\C#N)C(=O)NCCc2ccccc2)cc1,"['O', 'c', '1', 'c', '(', 'O', ')', 'c', 'c', '(', '/', 'C', '=', 'C', '(', '\\', 'C', '#', 'N', ')', 'C', '(', '=', 'O', ')', 'N', 'C', 'C', 'c', '2', 'c', 'c', 'c', 'c', 'c', '2', ')', 'c', 'c', '1']","[0.007544633466750383, 0.020450055599212646, 0.008934729732573032, 0.007847722619771957, 0.009566516615450382, 0.014430728740990162, 0.01228388026356697, 0.01390827540308237, 0.004672838840633631, 0.012239492498338223, 0.004992166068404913, 0.02217201143503189, 0.03257708624005318, 0.005232112016528845, 0.010736598633229733, 0.005321165546774864, 0.011394639499485493, 0.027149483561515808, 0.01854822039604187, 0.009485282003879547, 0.006886631716042757, 0.017826171591877937, 0.008455348201096058, 0.011112148873507977, 0.016134949401021004, 0.022319646552205086, 0.01757357455790043, 0.014395959675312042, 0.026935143396258354, 0.05119602754712105, 0.01796484924852848, 0.00998405646532774, 0.008729268796741962, 0.009178079664707184, 0.01741032861173153, 0.03191447630524635, 0.01893211528658867, 0.008896937593817711, 0.006351873278617859, 0.007418504450470209]","['[#6]=[#6][C&X3](=[O&X1])-,:[!#1&!$([O&H1])]', 'C=CC#[N&X1]']","(6, 7, 8, 9, 10, 11, 12)","[0.02217201143503189, 0.005232112016528845, 0.011394639499485493, 0.01854822039604187, 0.006886631716042757, 0.011112148873507977, 0.022319646552205086]","(0, 1, 2, 3, 4, 5, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)","[0.007544633466750383, 0.020450055599212646, 0.007847722619771957, 0.014430728740990162, 0.01390827540308237, 0.004672838840633631, 0.01757357455790043, 0.014395959675312042, 0.026935143396258354, 0.01796484924852848, 0.00998405646532774, 0.008729268796741962, 0.009178079664707184, 0.01741032861173153, 0.008896937593817711, 0.006351873278617859]","[0.007847722619771957, 0.01390827540308237, 0.02217201143503189, 0.01854822039604187, 0.006886631716042757, 0.022319646552205086, 0.014395959675312042, 0.026935143396258354, 0.00998405646532774, 0.009178079664707184, 0.008896937593817711, 0.006351873278617859]"
23,[I-].C[N+]1(C)CCN(c2ccccc2)CC1,"['[I-]', '.', 'C', '[N+]', '1', '(', 'C', ')', 'C', 'C', 'N', '(', 'c', '2', 'c', 'c', 'c', 'c', 'c', '2', ')', 'C', 'C', '1']","[0.006161768455058336, 0.01692337356507778, 0.008128409273922443, 0.03278788551688194, 0.009444250725209713, 0.00839247927069664, 0.008071018382906914, 0.013996650464832783, 0.011232942342758179, 0.05239931866526604, 0.01595049537718296, 0.049742668867111206, 0.017721673473715782, 0.047408733516931534, 0.04032779857516289, 0.017226243391633034, 0.010057847015559673, 0.010655920952558517, 0.02110440470278263, 0.03491099551320076, 0.014427152462303638, 0.008944978006184101, 0.016752496361732483, 0.01110058929771185]","[N&X4&+](-,:[C&X4])(-,:[C&X4])(-,:[C&X4])-,:[C&X4]","(2, 1, 3, 4, 14)","[0.008128409273922443, 0.03278788551688194, 0.008071018382906914, 0.011232942342758179, 0.016752496361732483]","(0, 5, 6, 7, 8, 9, 10, 11, 12, 13)","[0.006161768455058336, 0.05239931866526604, 0.01595049537718296, 0.017721673473715782, 0.04032779857516289, 0.017226243391633034, 0.010057847015559673, 0.010655920952558517, 0.02110440470278263, 0.008944978006184101]","[0.01692337356507778, 0.009444250725209713, 0.00839247927069664, 0.013996650464832783, 0.049742668867111206, 0.047408733516931534, 0.03491099551320076, 0.014427152462303638, 0.01110058929771185]"
24,Nc1ccc(CCN2CCN(c3cccc(C(F)(F)F)c3)CC2)cc1,"['N', 'c', '1', 'c', 'c', 'c', '(', 'C', 'C', 'N', '2', 'C', 'C', 'N', '(', 'c', '3', 'c', 'c', 'c', 'c', '(', 'C', '(', 'F', ')', '(', 'F', ')', 'F', ')', 'c', '3', ')', 'C', 'C', '2', ')', 'c', 'c', '1']","[0.009327521547675133, 0.0213160440325737, 0.007940428331494331, 0.006638182792812586, 0.006865403149276972, 0.007204422727227211, 0.007803717628121376, 0.014750448055565357, 0.017475171014666557, 0.02960151992738247, 0.05574873462319374, 0.01356414332985878, 0.02480609528720379, 0.011669095605611801, 0.03719576820731163, 0.008511302061378956, 0.013671142049133778, 0.010482892394065857, 0.007928169332444668, 0.006680565420538187, 0.006081037223339081, 0.010088261216878891, 0.009046950377523899, 0.007258292753249407, 0.017475619912147522, 0.00883832573890686, 0.006235509645193815, 0.007693087682127953, 0.007487541530281305, 0.0071507468819618225, 0.01027387473732233, 0.008323926478624344, 0.011736352927982807, 0.016421006992459297, 0.006880661938339472, 0.023594705387949944, 0.04466772451996803, 0.018354399129748344, 0.005541040096431971, 0.006106979679316282, 0.007786127272993326]","['c[C&X4][F,Cl,Br,I]', '[*&!$(a)&!$(C=C)&!$(C#C)][C&X4][F,Cl,Br,I]']","(15, 16, 17, 18, 19)","[0.006081037223339081, 0.009046950377523899, 0.017475619912147522, 0.007693087682127953, 0.0071507468819618225]","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 20, 21, 22, 23, 24)","[0.009327521547675133, 0.0213160440325737, 0.006638182792812586, 0.006865403149276972, 0.007204422727227211, 0.014750448055565357, 0.017475171014666557, 0.02960151992738247, 0.01356414332985878, 0.02480609528720379, 0.011669095605611801, 0.008511302061378956, 0.010482892394065857, 0.007928169332444668, 0.006680565420538187, 0.008323926478624344, 0.006880661938339472, 0.023594705387949944, 0.005541040096431971, 0.006106979679316282]","[0.006638182792812586, 0.017475171014666557, 0.011669095605611801, 0.006680565420538187, 0.009046950377523899, 0.006880661938339472, 0.005541040096431971]"
25,[Br-].CC[N+](CC)(CC)CC(=O)Nc1c(C)cccc1C,"['[Br-]', '.', 'C', 'C', '[N+]', '(', 'C', 'C', ')', '(', 'C', 'C', ')', 'C', 'C', '(', '=', 'O', ')', 'N', 'c', '1', 'c', '(', 'C', ')', 'c', 'c', 'c', 'c', '1', 'C']","[0.009040948934853077, 0.01663326285779476, 0.008164485916495323, 0.015871616080403328, 0.013811166398227215, 0.014973991550505161, 0.014389303512871265, 0.01163501013070345, 0.013285373337566853, 0.010379974730312824, 0.015342277474701405, 0.010231996886432171, 0.011172362603247166, 0.012318961322307587, 0.013983150012791157, 0.012926645576953888, 0.013701819814741611, 0.017672527581453323, 0.022780239582061768, 0.016451751813292503, 0.04833044484257698, 0.0103703448548913, 0.010925065726041794, 0.01162263285368681, 0.018739953637123108, 0.01991056464612484, 0.011552310548722744, 0.008201091550290585, 0.009379525668919086, 0.01122525054961443, 0.011379477567970753, 0.010990257374942303]","[N&X4&+](-,:[C&X4])(-,:[C&X4])(-,:[C&X4])-,:[C&X4]","(3, 2, 4, 6, 8)","[0.015871616080403328, 0.013811166398227215, 0.014389303512871265, 0.015342277474701405, 0.012318961322307587]","(0, 1, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)","[0.009040948934853077, 0.008164485916495323, 0.01163501013070345, 0.010231996886432171, 0.013983150012791157, 0.017672527581453323, 0.016451751813292503, 0.04833044484257698, 0.010925065726041794, 0.018739953637123108, 0.011552310548722744, 0.008201091550290585, 0.009379525668919086, 0.01122525054961443, 0.010990257374942303]","[0.01663326285779476, 0.014973991550505161, 0.013285373337566853, 0.010379974730312824, 0.011172362603247166, 0.012926645576953888, 0.013701819814741611, 0.022780239582061768, 0.0103703448548913, 0.01162263285368681, 0.01991056464612484, 0.011379477567970753]"
26,CC(C)(C)c1ccc(/C=C/C(=O)Nc2cc3c(cc2)OCCO3)cc1,"['C', 'C', '(', 'C', ')', '(', 'C', ')', 'c', '1', 'c', 'c', 'c', '(', '/', 'C', '=', 'C', '/', 'C', '(', '=', 'O', ')', 'N', 'c', '2', 'c', 'c', '3', 'c', '(', 'c', 'c', '2', ')', 'O', 'C', 'C', 'O', '3', ')', 'c', 'c', '1']","[0.012076981365680695, 0.008165043778717518, 0.009620177559554577, 0.010848966427147388, 0.012889169156551361, 0.009298332966864109, 0.008562213741242886, 0.014404562301933765, 0.008264089934527874, 0.006522675510495901, 0.004668020643293858, 0.006435681600123644, 0.005618328228592873, 0.010659019462764263, 0.0067795985378324986, 0.023923637345433235, 0.016460154205560684, 0.01323782280087471, 0.018591489642858505, 0.00831770058721304, 0.008224333636462688, 0.009246616624295712, 0.014596189372241497, 0.016256364062428474, 0.01920829899609089, 0.024174876511096954, 0.04592166468501091, 0.02487276680767536, 0.01114729791879654, 0.022331207990646362, 0.007866169326007366, 0.012430836446583271, 0.008230608887970448, 0.009752227924764156, 0.030886150896549225, 0.015445997007191181, 0.006911732722073793, 0.010202898643910885, 0.014672738499939442, 0.01481677871197462, 0.02410992980003357, 0.010865368880331516, 0.004322404973208904, 0.006192218046635389, 0.006904600188136101]",[#6]=[#6][C&X3](=[O&X1])[N&X3],"(8, 9, 10, 11, 12)","[0.023923637345433235, 0.01323782280087471, 0.00831770058721304, 0.014596189372241497, 0.01920829899609089]","(0, 1, 2, 3, 4, 5, 6, 7, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24)","[0.012076981365680695, 0.008165043778717518, 0.010848966427147388, 0.008562213741242886, 0.008264089934527874, 0.004668020643293858, 0.006435681600123644, 0.005618328228592873, 0.024174876511096954, 0.02487276680767536, 0.01114729791879654, 0.007866169326007366, 0.008230608887970448, 0.009752227924764156, 0.006911732722073793, 0.010202898643910885, 0.014672738499939442, 0.01481677871197462, 0.004322404973208904, 0.006192218046635389]","[0.009620177559554577, 0.012889169156551361, 0.009298332966864109, 0.014404562301933765, 0.006522675510495901, 0.010659019462764263, 0.0067795985378324986, 0.016460154205560684, 0.018591489642858505, 0.008224333636462688, 0.009246616624295712, 0.016256364062428474, 0.04592166468501091, 0.022331207990646362, 0.012430836446583271, 0.030886150896549225, 0.015445997007191181, 0.02410992980003357, 0.010865368880331516, 0.006904600188136101]"
27,Oc1c(-n2c(=O)[nH]c3c2ccc(C(F)(F)F)c3)cc(C(F)(F)F)cc1,"['O', 'c', '1', 'c', '(', '-', 'n', '2', 'c', '(', '=', 'O', ')', '[nH]', 'c', '3', 'c', '2', 'c', 'c', 'c', '(', 'C', '(', 'F', ')', '(', 'F', ')', 'F', ')', 'c', '3', ')', 'c', 'c', '(', 'C', '(', 'F', ')', '(', 'F', ')', 'F', ')', 'c', 'c', '1']","[0.006066642235964537, 0.025874482467770576, 0.008801721967756748, 0.009434650652110577, 0.014445825479924679, 0.010036149062216282, 0.017786379903554916, 0.061690401285886765, 0.01424518134444952, 0.007412567734718323, 0.01992461457848549, 0.01739545166492462, 0.019370147958397865, 0.020217515528202057, 0.008241045288741589, 0.012998375110328197, 0.012050350196659565, 0.041043080389499664, 0.017935380339622498, 0.006273603532463312, 0.005765322130173445, 0.010435376316308975, 0.007410117890685797, 0.007761865854263306, 0.018268892541527748, 0.009282854385674, 0.005747906863689423, 0.007632834371179342, 0.007076190784573555, 0.0067025055177509785, 0.010735859163105488, 0.006513611879199743, 0.007621463388204575, 0.01077311486005783, 0.003909222781658173, 0.0052330042235553265, 0.011400919407606125, 0.0064995442517101765, 0.007413182873278856, 0.018268892541527748, 0.009282854385674, 0.005747906863689423, 0.008878537453711033, 0.007747053634375334, 0.006517874076962471, 0.009680216200649738, 0.004591031465679407, 0.00613749586045742, 0.007862476631999016]","['c[C&X4][F,Cl,Br,I]', '[*&!$(a)&!$(C=C)&!$(C#C)][C&X4][F,Cl,Br,I]']","(11, 12, 13, 14, 15, 18, 19, 20, 21, 22)","[0.006273603532463312, 0.005765322130173445, 0.007410117890685797, 0.018268892541527748, 0.007632834371179342, 0.003909222781658173, 0.0052330042235553265, 0.0064995442517101765, 0.018268892541527748, 0.008878537453711033]","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16, 17, 23, 24)","[0.006066642235964537, 0.025874482467770576, 0.009434650652110577, 0.010036149062216282, 0.017786379903554916, 0.01424518134444952, 0.01739545166492462, 0.020217515528202057, 0.008241045288741589, 0.012050350196659565, 0.017935380339622498, 0.0067025055177509785, 0.006513611879199743, 0.006517874076962471, 0.004591031465679407, 0.00613749586045742]","[0.009434650652110577, 0.017786379903554916, 0.020217515528202057, 0.012050350196659565, 0.017935380339622498, 0.005765322130173445, 0.007632834371179342, 0.006513611879199743, 0.018268892541527748, 0.006517874076962471, 0.00613749586045742]"
28,OC(=O)/C=C\C(O)=O.COc1ccccc1N1CCN(CCN(C(=O)C2CCCCC2)c2ccccn2)CC1,"['O', 'C', '(', '=', 'O', ')', '/', 'C', '=', 'C', '\\', 'C', '(', 'O', ')', '=', 'O', '.', 'C', 'O', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1', 'N', '1', 'C', 'C', 'N', '(', 'C', 'C', 'N', '(', 'C', '(', '=', 'O', ')', 'C', '2', 'C', 'C', 'C', 'C', 'C', '2', ')', 'c', '2', 'c', 'c', 'c', 'c', 'n', '2', ')', 'C', 'C', '1']","[0.003855400485917926, 0.00653574476018548, 0.00671555707231164, 0.006165908649563789, 0.008013051934540272, 0.006624393630772829, 0.005259957630187273, 0.02220412902534008, 0.007206717040389776, 0.005603019613772631, 0.005889208987355232, 0.006249227095395327, 0.007428919430822134, 0.010651908814907074, 0.0057274228893220425, 0.007341831922531128, 0.007457314524799585, 0.01302661094814539, 0.004311420489102602, 0.011811663396656513, 0.008661103434860706, 0.007660312112420797, 0.005906976293772459, 0.006500224117189646, 0.00586880324408412, 0.006286062300205231, 0.006998811382800341, 0.009692893363535404, 0.011570487171411514, 0.00781549233943224, 0.009141470305621624, 0.015790486708283424, 0.008691688999533653, 0.017070148140192032, 0.009116123430430889, 0.013286247849464417, 0.008395998738706112, 0.01755032129585743, 0.00437178323045373, 0.013537880033254623, 0.007485164795070887, 0.009275604970753193, 0.007139816414564848, 0.006232185289263725, 0.024824587628245354, 0.009855427779257298, 0.006851664278656244, 0.01610320806503296, 0.017378544434905052, 0.015376296825706959, 0.033999137580394745, 0.018112359568476677, 0.005446285009384155, 0.029763877391815186, 0.0187210813164711, 0.006777368485927582, 0.006644897628575563, 0.00848074909299612, 0.01936895214021206, 0.021321682259440422, 0.008599390275776386, 0.006958798971027136, 0.008589714765548706, 0.006075305864214897]",[C&X3]=[C&X3][C&X3](=[O&X1])[O&X2&H1],"(0, 1, 2, 3, 4, 5, 6, 7)","[0.003855400485917926, 0.00653574476018548, 0.008013051934540272, 0.02220412902534008, 0.005603019613772631, 0.006249227095395327, 0.010651908814907074, 0.007457314524799585]","(8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38)","[0.004311420489102602, 0.011811663396656513, 0.008661103434860706, 0.005906976293772459, 0.006500224117189646, 0.00586880324408412, 0.006286062300205231, 0.006998811382800341, 0.011570487171411514, 0.009141470305621624, 0.015790486708283424, 0.008691688999533653, 0.009116123430430889, 0.013286247849464417, 0.008395998738706112, 0.00437178323045373, 0.009275604970753193, 0.006232185289263725, 0.009855427779257298, 0.006851664278656244, 0.01610320806503296, 0.017378544434905052, 0.015376296825706959, 0.005446285009384155, 0.0187210813164711, 0.006777368485927582, 0.006644897628575563, 0.00848074909299612, 0.01936895214021206, 0.006958798971027136, 0.008589714765548706]","[0.00671555707231164, 0.006165908649563789, 0.006624393630772829, 0.005259957630187273, 0.007206717040389776, 0.005889208987355232, 0.007428919430822134, 0.0057274228893220425, 0.007341831922531128, 0.01302661094814539, 0.007660312112420797, 0.009692893363535404, 0.00781549233943224, 0.017070148140192032, 0.01755032129585743, 0.013537880033254623, 0.007485164795070887, 0.007139816414564848, 0.024824587628245354, 0.033999137580394745, 0.018112359568476677, 0.029763877391815186, 0.021321682259440422, 0.008599390275776386, 0.006075305864214897]"
29,Cl.COc1ccc(NC(=O)c2ccc(-c3c(C)cc(-c4noc(C)n4)cc3)cc2)cc1N1CCN(C)CC1,"['Cl', '.', 'C', 'O', 'c', '1', 'c', 'c', 'c', '(', 'N', 'C', '(', '=', 'O', ')', 'c', '2', 'c', 'c', 'c', '(', '-', 'c', '3', 'c', '(', 'C', ')', 'c', 'c', '(', '-', 'c', '4', 'n', 'o', 'c', '(', 'C', ')', 'n', '4', ')', 'c', 'c', '3', ')', 'c', 'c', '2', ')', 'c', 'c', '1', 'N', '1', 'C', 'C', 'N', '(', 'C', ')', 'C', 'C', '1']","[0.007128285709768534, 0.008192348293960094, 0.004899103660136461, 0.016108887270092964, 0.011319566518068314, 0.006279173772782087, 0.0035397354513406754, 0.0056006149388849735, 0.004525531083345413, 0.014314595609903336, 0.016677912324666977, 0.005630314815789461, 0.01779365912079811, 0.006542616989463568, 0.00860854797065258, 0.011095213703811169, 0.00689295819029212, 0.035754211246967316, 0.01155088935047388, 0.00589450029656291, 0.006469385698437691, 0.011889210902154446, 0.006517224013805389, 0.009453310631215572, 0.029673049226403236, 0.006203116849064827, 0.006168357562273741, 0.005526638124138117, 0.00791918020695448, 0.00744163803756237, 0.004721398930996656, 0.010267327539622784, 0.006198205053806305, 0.0060638063587248325, 0.007800495717674494, 0.017615266144275665, 0.019688548520207405, 0.00723350839689374, 0.0059701525606215, 0.017759129405021667, 0.008876319974660873, 0.014731264673173428, 0.0069971755146980286, 0.007081038784235716, 0.004714627284556627, 0.00866576749831438, 0.007466868031769991, 0.007131695747375488, 0.006559215020388365, 0.010786524973809719, 0.029719263315200806, 0.012517119757831097, 0.004385698586702347, 0.005717926193028688, 0.008321613073348999, 0.012789980508387089, 0.009507413022220135, 0.013469957746565342, 0.017006466165184975, 0.011809309013187885, 0.030657559633255005, 0.00935317948460579, 0.007535069715231657, 0.005113150458782911, 0.009086508303880692, 0.006794850807636976]","c1c(-,:cccc1)-c1ccccc1","(12, 13, 27, 28, 10, 11, 14, 15, 17, 18, 25, 26)","[0.00689295819029212, 0.01155088935047388, 0.00589450029656291, 0.006469385698437691, 0.006517224013805389, 0.009453310631215572, 0.005526638124138117, 0.00744163803756237, 0.017759129405021667, 0.014731264673173428, 0.004714627284556627, 0.00866576749831438]","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 16, 19, 20, 21, 22, 23, 24, 29, 30, 31, 32, 33, 34, 35, 36, 37)","[0.007128285709768534, 0.004899103660136461, 0.016108887270092964, 0.011319566518068314, 0.0035397354513406754, 0.0056006149388849735, 0.004525531083345413, 0.016677912324666977, 0.005630314815789461, 0.00860854797065258, 0.006203116849064827, 0.004721398930996656, 0.006198205053806305, 0.0060638063587248325, 0.017615266144275665, 0.019688548520207405, 0.00723350839689374, 0.006559215020388365, 0.010786524973809719, 0.004385698586702347, 0.005717926193028688, 0.012789980508387089, 0.013469957746565342, 0.017006466165184975, 0.011809309013187885, 0.00935317948460579]","[0.008192348293960094, 0.006279173772782087, 0.014314595609903336, 0.01779365912079811, 0.006542616989463568, 0.011095213703811169, 0.035754211246967316, 0.011889210902154446, 0.029673049226403236, 0.006168357562273741, 0.00791918020695448, 0.010267327539622784, 0.007800495717674494, 0.0059701525606215, 0.008876319974660873, 0.0069971755146980286, 0.007081038784235716, 0.007466868031769991, 0.007131695747375488, 0.029719263315200806, 0.012517119757831097, 0.008321613073348999, 0.009507413022220135, 0.030657559633255005, 0.007535069715231657, 0.006794850807636976]"
30,Clc1ccc(Cl)c(-c2ccc(/C=C(\C#N)C(=O)Nc3cccc4c3cccn4)o2)c1,"['Cl', 'c', '1', 'c', 'c', 'c', '(', 'Cl', ')', 'c', '(', '-', 'c', '2', 'c', 'c', 'c', '(', '/', 'C', '=', 'C', '(', '\\', 'C', '#', 'N', ')', 'C', '(', '=', 'O', ')', 'N', 'c', '3', 'c', 'c', 'c', 'c', '4', 'c', '3', 'c', 'c', 'c', 'n', '4', ')', 'o', '2', ')', 'c', '1']","[0.009315754286944866, 0.010045984759926796, 0.005993247032165527, 0.004915416706353426, 0.005764847155660391, 0.006766557693481445, 0.008453508839011192, 0.01050398126244545, 0.009962104260921478, 0.00782463327050209, 0.012056329287588596, 0.012063242495059967, 0.013093031011521816, 0.04284847155213356, 0.011726263910531998, 0.006807999685406685, 0.004402923863381147, 0.008968677371740341, 0.005841368809342384, 0.01952947862446308, 0.026776015758514404, 0.004698836710304022, 0.010395413264632225, 0.005011928733438253, 0.010655783116817474, 0.026826471090316772, 0.018510473892092705, 0.009503455832600594, 0.005932498257607222, 0.014833551831543446, 0.009117928333580494, 0.011792555451393127, 0.016818376258015633, 0.022879255935549736, 0.01260076928883791, 0.014117509126663208, 0.004906388930976391, 0.008920092135667801, 0.022332288324832916, 0.006943866144865751, 0.015026376582682133, 0.012234612368047237, 0.01487785205245018, 0.005574775394052267, 0.005295606330037117, 0.006229676306247711, 0.019256526604294777, 0.008269695565104485, 0.011047887615859509, 0.009216631762683392, 0.03690902516245842, 0.013118061237037182, 0.004504701588302851, 0.005620637442916632]","['[#6]=[#6][C&X3](=[O&X1])-,:[!#1&!$([O&H1])]', 'C=CC#[N&X1]']","(11, 12, 13, 14, 15, 16, 17)","[0.004402923863381147, 0.01952947862446308, 0.004698836710304022, 0.010655783116817474, 0.018510473892092705, 0.005932498257607222, 0.011792555451393127]","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29)","[0.009315754286944866, 0.010045984759926796, 0.004915416706353426, 0.005764847155660391, 0.006766557693481445, 0.01050398126244545, 0.00782463327050209, 0.012063242495059967, 0.013093031011521816, 0.011726263910531998, 0.006807999685406685, 0.022879255935549736, 0.01260076928883791, 0.004906388930976391, 0.008920092135667801, 0.022332288324832916, 0.006943866144865751, 0.012234612368047237, 0.005574775394052267, 0.005295606330037117, 0.006229676306247711, 0.019256526604294777, 0.009216631762683392, 0.004504701588302851]","[0.004915416706353426, 0.00782463327050209, 0.013093031011521816, 0.006807999685406685, 0.004698836710304022, 0.011792555451393127, 0.022879255935549736, 0.004906388930976391, 0.022332288324832916, 0.006943866144865751, 0.005574775394052267, 0.006229676306247711, 0.009216631762683392, 0.004504701588302851]"
